Foley,0.044791782620390554,0.03209696438548673,-426.0,96.0,-165.0,261.0,", ELECTION OF SPEAKER"
Failed,0.019893064420978716,0.04483071369415848,-223.0,-71.0,-147.0,76.0,"CUSTOMS FORFEITURE FUND TRANSFERS, SUSPEND RULES AND PASSAS AMENDED"
Passed,0.0425110277688543,0.022708906677506566,-361.0,119.0,-121.0,240.0,"WAIVING CERTAIN POINTS OF ORDER AGAINST H.R. 5518; DEPARTMENT OF TRANSPORTATION APPROPRIATIONS FOR FY 1993, On Agreeing to the Resolution"
Failed,-0.026669598004316272,0.03216504001904401,97.0,-279.0,-91.0,-188.0,", On Agreeing to the Amendment"
Failed,0.02355547802558423,0.042507821449874805,-260.0,-46.0,-153.0,107.0,", On Agreeing to the Amendment"
Failed,-0.025606212333125898,-0.016722521765702845,194.0,-62.0,66.0,-128.0,", On Agreeing to the Amendment"
Agreed to,-0.012658629418212405,-0.04975959414037985,195.0,127.0,161.0,-34.0,", On Agreeing to the Amendment"
Agreed to,0.029374466492770625,0.0317052043574987,-268.0,22.0,-123.0,145.0,", On Agreeing to the Amendment"
Passed,-0.005615380947364283,-0.04694463835908187,145.0,155.0,150.0,5.0,"DEPARTMENT OF TRANSPORTATION APPROPRIATIONS FOR FY 1993, On Motion to Recommit with Instructions"
Passed,0.03666192393863152,-0.011879719764488723,-197.0,231.0,17.0,214.0,"DEPARTMENT OF TRANSPORTATION APPROPRIATIONS FOR FY 1993, On Passage"
Passed,0.020729188290516107,-0.0019678760434904802,-128.0,122.0,-3.0,125.0,"DISAPPROVING THE EXTENSION OF CHINA’S MOST FAVORED NATION STATUS, On Passage"
Passed,0.032524398972918395,-0.024898720229279057,-146.0,276.0,65.0,211.0,"UNITED STATES CHINA ACT OF 1992, On Passage"
Failed,0.007415564142848214,0.036462806380009205,-106.0,-106.0,-106.0,0.0,", On Agreeing to the Amendment"
Failed,-0.039830156810105856,-0.023557415922084768,333.0,-103.0,115.0,-218.0,", On Agreeing to the Amendment"
Passed,0.030595699275397733,-0.048520881206384196,-81.0,371.0,145.0,226.0,"WASTE ISOLATION PILOT PLANT LAND WITHDRAWAL ACT OF 1992, On Passage"
Passed,0.040255452477233944,0.034649784015380776,-382.0,64.0,-159.0,223.0,"WAIVING CERTAIN POINTS OF ORDER AGAINST AND DURING CONSIDERATION OF H.R. 5503; INTERIOR APPROPRIATIONS FOR FY 1993, On Ordering the Previous Question"
Passed,0.04348705930145953,0.029150485630567612,-388.0,100.0,-144.0,244.0,"WAIVING CERTAIN POINTS OF ORDER AGAINST AND DURING CONSIDERATION OF H.R. 5503; INTERIOR APPROPRIATIONS FOR FY 1993, On Agreeing to the Resolution"
Passed,0.03412242041829745,-0.052342268730880465,-95.0,413.0,159.0,254.0,"RELATING TO THE PRIVILEGES OF THE HOUSE, On Agreeing to the Resolution"
Passed,0.03816085559319048,0.03401170214770616,-372.0,56.0,-158.0,214.0,"RELATING TO THE PRIVILEGES OF THE HOUSE, ON MOTION TO TABLE"
Passed,0.03210112626899674,0.039404949929757474,-322.0,6.0,-158.0,164.0,"RELATING TO THE PRIVILEGES OF THE HOUSE, ON MOTION TO TABLE"
Failed,-0.019240614582688977,0.03800885941049339,25.0,-269.0,-122.0,-147.0,", On Agreeing to the Amendment"
Agreed to,-0.010008501890417555,-0.03626160600713053,134.0,94.0,114.0,-20.0,", On Agreeing to the Amendment"
Failed,-0.03962742135983915,0.010592280032514858,211.0,-243.0,-16.0,-227.0,", On Agreeing to the Amendment"
Agreed to,-0.011307506871614345,-0.039813370645322615,144.0,96.0,120.0,-24.0,", On Agreeing to the Amendment"
Failed,-0.021923090819513272,-0.009710656985613547,137.0,-79.0,29.0,-108.0,", On Agreeing to the Amendment"
Failed,-0.03459034632672269,-0.01144828821648702,240.0,-130.0,55.0,-185.0,", On Agreeing to the Amendment"
Agreed to,-0.013763859081802296,-0.01998361597099724,111.0,7.0,59.0,-52.0,", On Agreeing to the Amendment"
Failed,-0.027876642546913896,-0.007044728670639699,207.0,-103.0,52.0,-155.0,", On Agreeing to the Amendment"
Agreed to,-0.019084426714830394,-0.04754722307869184,209.0,81.0,145.0,-64.0,", On Agreeing to the Amendment"
Failed,-0.031161907539353197,-0.034700229806572926,270.0,-20.0,125.0,-145.0,", On Agreeing to the Amendment"
Passed,0.041476374085769305,-0.006932181486395978,-232.0,234.0,1.0,233.0,"INTERIOR APPROPRIATIONS FOR FY 1993, On Passage"
Passed,0.035394642352341625,0.038035718519627774,-350.0,26.0,-162.0,188.0,"RELATING TO THE PRIVILEGES OF THE HOUSE, ON MOTION TO TABLE"
Failed,-0.03836607259392719,0.010045751178203954,233.0,-243.0,-5.0,-238.0,", On Agreeing to the Amendment"
Agreed to,0.03324316444060124,-0.05112513315465374,-90.0,400.0,155.0,245.0,", ON AGREEING TO THE AMENDMENT"
Failed,-0.017271109641765134,-0.0004449433455072445,132.0,-84.0,24.0,-108.0,", On Agreeing to the Amendment"
Agreed to,0.03053557654921892,-0.027385179348344384,-127.0,269.0,71.0,198.0,", On Agreeing to the Amendment"
Failed,-0.03826880937925334,-0.017425263825375903,307.0,-121.0,93.0,-214.0,", On Agreeing to the Amendment"
Passed,0.03777143925817247,-0.017279443263620214,-196.0,266.0,35.0,231.0,"CABLE TELEVISION CONSUMER PROTECTION AND COMPETITION ACT OF 1992, On Passage"
Failed,-0.033496206270046416,-0.020588754353267763,258.0,-90.0,84.0,-174.0,", On Agreeing to the Amendment"
Failed,-0.024301291367369717,-0.032236841076149096,213.0,-1.0,106.0,-107.0,", On Agreeing to the Amendment"
Failed,-0.0352040667654112,-0.022728630530796344,278.0,-88.0,95.0,-183.0,", On Agreeing to the Amendment"
Failed,-0.03795858799290566,-0.013223660681202148,285.0,-137.0,74.0,-211.0,", On Agreeing to the Amendment"
Failed,-0.028442468066966632,-0.032279795690855,246.0,-22.0,112.0,-134.0,"VOTING RIGHTS LANGUAGE ASSISTANCE ACT OF 1992, On Motion to Recommit with Instructions"
Passed,0.03142385372902475,0.012523672461847138,-215.0,111.0,-52.0,163.0,"VOTING RIGHTS LANGUAGE ASSISTANCE ACT OF 1992, On Passage"
Failed,-0.03763583190108083,0.0036599257158806803,222.0,-194.0,14.0,-208.0,", On Agreeing to the Amendment"
Failed,0.026207446447630907,0.04226186058799369,-277.0,-35.0,-156.0,121.0,"LABOR, HEALTH AND HUMAN SERVICES APPROPRIATIONS ACT FOR FY 1993, ON MOTION TO RISE AND REPORT"
Passed,0.03868215048860677,-0.024494598662098386,-180.0,290.0,55.0,235.0,"LABOR, HEALTH AND HUMAN SERVICES APPROPRIATIONS ACT FOR FY 1993, On Passage"
Passed,0.03339945033158861,0.040975415753600586,-331.0,7.0,-162.0,169.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 5620; SUPPLEMENTAL APPROPRIATIONS FOR F.Y. 1992, On Ordering the Previous Question"
Passed,0.03853758598396719,0.0341231493657674,-349.0,55.0,-147.0,202.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 5620; SUPPLEMENTAL APPROPRIATIONS FOR F.Y. 1992, On Agreeing to the Resolution"
Failed,-0.03587551549333356,-0.02833828898721111,294.0,-68.0,113.0,-181.0,", On Agreeing to the Amendment"
Passed,0.04123062346324391,0.006564346407693463,-276.0,172.0,-52.0,224.0,"URGENT SUPPLEMENTAL APPROPRIATIONS FOR FY 1992, On Passage"
Passed,0.0027591781814524183,-0.0401282009987785,64.0,174.0,119.0,55.0,"TAX EXEMPTION FOR SPONSORSHIP PROCEEDS FROM CERTAIN EVENTS, On Motion to Suspend the Rules and Pass"
Failed,-0.02031009547604526,0.04932437449321269,10.0,-320.0,-155.0,-165.0,"TAX EXEMPT BONDS FOR GOVERNMENT OWNED HIGH SPEED INTERCITY RAIL FACILITIES, On Motion to Suspend the Rules and Pass"
Failed,0.03205528137565978,0.02018023992343912,-267.0,79.0,-94.0,173.0,"STOCK RAISING HOMESTEAD ACT AMENDMENTS, SUSPEND THE RULES AND PASS AS AMENDED"
Passed,0.034814981975100176,-0.04793717102663563,-106.0,390.0,142.0,248.0,"WAIVE CONGRESSIONAL LAYOVER FOR CERTAIN D.C. ACTS, On Passage"
Passed,0.03983555877180411,0.03612859426544394,-380.0,56.0,-162.0,218.0,"PROVIDING FOR CONSIDERATION OF H.R. 5679; VA HUD APPROPRIATIONS FOR FY 1993, On Ordering the Previous Question"
Passed,0.042606817700552836,0.031294833108448,-391.0,89.0,-151.0,240.0,"PROVIDING FOR CONSIDERATION OF H.R. 5679; VA HUD APPROPRIATIONS FOR FY 1993, On Agreeing to the Resolution"
