Passed,2.146954981041316e-18,-2.681843008051156e-19,0.0,0.0,0.0,0.0,"Observing the 30th anniversary of the fall of the Republic of Vietnam to the Communist forces of North Vietnam, On Motion to Suspend the Rules and Agree, As Amended"
Failed,1.3303134349658164e-18,-1.2550085653787403e-18,0.0,0.0,0.0,0.0,"Vocational and Technical Education for the Future Act, On Motion to Recommit with Instructions"
Passed,1.2277171842837178e-18,-7.912211710338679e-20,0.0,0.0,0.0,0.0,"Vocational and Technical Education for the Future Act, On Passage"
Passed,1.5528381617713964e-18,-1.4942947821946667e-19,0.0,0.0,0.0,0.0,"Calling on the Government of the Federal Republic of Nigeria to transfer Charles Ghankay Taylor, former President of the Republic of Liberia, to the Special Court for Sierra Leone to be tried for war crimes, crimes against humanity, and other serious violations of international humanitarian law, On Motion to Suspend the Rules and Agree"
Passed,2.682110638802619e-19,1.5095612586094916e-18,0.0,0.0,0.0,0.0,"Recognizing the 60th anniversary of Victory in Europe (VE) Day and the Liberation of Western Bohemia, On Motion to Suspend the Rules and Agree"
Passed,2.2937921311450557e-19,-1.694486412012767e-18,0.0,0.0,0.0,0.0,"Federal Deposit Insurance Reform Act, On Passage"
Passed,6.940569866140204e-19,-7.856533370271612e-19,0.0,0.0,0.0,0.0,"Recognizing the 60th anniversary of Victory in Europe (VE) Day during World War II, On Motion to Suspend the Rules and Agree, As Amended"
Passed,-2.7852023916892526e-19,-1.1283991729254412e-18,0.0,0.0,0.0,0.0,"Waiving points of order against the conference report to accompany the bill (H.R. 1268) making Emergency Supplemental Appropriations for Defense, the Global War on Terror, and Tsunami Relief, for the fiscal year ending September 30, 2005, and for other purposes, On Ordering the Previous Question"
Failed,-8.196327970350018e-19,-1.8667678540208355e-18,0.0,0.0,0.0,0.0,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes, On Motion to Recommit the Conference Report with Instructions"
Passed,-1.3500735420326945e-18,-1.3629929931196478e-18,0.0,0.0,0.0,0.0,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes, On Agreeing to the Conference Report"
Passed,-9.843049214914714e-19,-7.803246449759509e-19,0.0,0.0,0.0,0.0,"Expressing support to the organizers and participants of the historic meeting of the Assembly to Promote the Civil Society in Cuba on May 20, 1005, in Cuba, On Motion to Suspend the Rules and Agree"
Passed,7.84503689025406e-19,1.3270796958226232e-18,0.0,0.0,0.0,0.0,"Supporting the goals and ideals of a “Rotary International Day” and celebrating and honoring Rotary International on the occasion of its centennial anniversary, On Motion to Suspend the Rules and Agree"
Passed,1.723294802780251e-18,5.424549949821463e-19,0.0,0.0,0.0,0.0,"Providing for consideration of the bill (H.R. 1279) to amend title 18, United States Code, to reduce violent gang crime and protect law-abiding citizens and communities from violent criminals, and for other purposes, On Ordering the Previous Question"
