Pelosi,-0.019809728324504325,0.035681216171963945,-429.0,81.0,-174.0,255.0,", Election of the Speaker"
Passed,-0.014791133177373105,0.036158353952478586,-375.0,23.0,-176.0,199.0,"Providing for consideration of H.R. 3081, Department of State, foreign operations, and related programs, FY 2010 appropriations., On Agreeing to the Resolution"
Passed,-0.03094545406510681,-0.019084175020795274,-71.0,423.0,176.0,247.0,"Recognizing the significance of National Caribbean-American Heritage Month, On Motion to Suspend the Rules and Agree"
Passed,-0.029210123160777094,-0.019366232148300314,-58.0,402.0,172.0,230.0,"Directing the Architect of the Capitol to engrave the Pledge of Allegiance to the Flag and the National Motto of “In God we trust” in the Capitol Visitor Center, On Motion to Suspend the Rules and Agree"
Agreed to,-0.01982852240843372,0.03336888509249188,-399.0,87.0,-156.0,243.0,", On Agreeing to the Amendment"
Failed,0.020572794023994624,-0.029151130098188663,360.0,-110.0,125.0,-235.0,", On Agreeing to the Amendment"
Failed,0.018628625615438626,-0.03161236600283918,365.0,-81.0,142.0,-223.0,", On Agreeing to the Amendment"
Agreed to,-0.009218022785835143,-0.015173074446885426,40.0,164.0,102.0,62.0,", On Agreeing to the Amendment"
Failed,0.018492925940383122,-0.032709891861019025,381.0,-77.0,152.0,-229.0,", On Agreeing to the Amendment"
Agreed to,-0.030739912899328547,-0.019186689693031368,-68.0,420.0,176.0,244.0,", On Agreeing to the Amendment"
Failed,0.019619527896849332,-0.029333242856298514,350.0,-98.0,126.0,-224.0,", On Agreeing to the Amendment"
Passed,-0.01796857784211805,0.03549969555773872,-408.0,58.0,-175.0,233.0,"Making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2010, and for other purposes, Table Appeal of the Ruling of the Chair"
Failed,0.015974960276401225,-0.0349526044231789,381.0,-41.0,170.0,-211.0,"Making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2010, and for other purposes, On Motion to Recommit with Instructions"
Passed,-0.023820320353110748,0.011966514562144398,-255.0,213.0,-21.0,234.0,"Making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2010, and for other purposes, On Passage"
Passed,-0.01873892725843614,0.03510771176456535,-408.0,70.0,-169.0,239.0,"Rule providing for consideration of H.R. 3082, making appropriations for military construction, the Departmen of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2010, and for other purposes, On Ordering the Previous Question"
Passed,-0.01809157317685031,0.03524782211834365,-404.0,62.0,-171.0,233.0,"Rule providing for consideration of H.R. 3082, making appropriations for military construction, the Departmen of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2010, and for other purposes, On Agreeing to the Resolution"
Failed,0.027372314078070625,-0.0011399589131872471,192.0,-292.0,-50.0,-242.0,", On Agreeing to the Amendment"
Passed,-0.030800167939321867,-0.017625379752597356,-83.0,413.0,165.0,248.0,"Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2010, and for other purposes, On Passage"
Passed,-0.013555267140752607,0.029465394158030508,-316.0,36.0,-140.0,176.0,", On Motion to Adjourn"
Failed,0.02844164335489791,0.011556334605768477,112.0,-358.0,-123.0,-235.0,", On Motion to Adjourn"
Failed,0.02810109052590124,0.01191436586906777,106.0,-354.0,-124.0,-230.0,", On Motion to Adjourn"
Passed,-0.0307716955774338,-0.01910742080122111,-71.0,421.0,175.0,246.0,"Expressing the profound sympathies of the House of Representatives for the victims of the tragic Metrorail accident on Monday, June 22, 2009, and for their families, friends, and associates, On Motion to Suspend the Rules and Agree"
Passed,-0.030551610897026543,-0.019038615941904424,-70.0,418.0,174.0,244.0,"Honoring the life of Wayman Lawrence Tisdale and expressing the condolences of the House Representatives on his passing, On Motion to Suspend the Rules and Agree"
Passed,-0.030875168758645752,-0.019106734889398694,-72.0,422.0,175.0,247.0,"Pilot College Work Study Programs for Veterans Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.03056984700157618,-0.01915009252816283,-69.0,419.0,175.0,244.0,"William C. Tallent Department of Veterans Affairs Outpatient Clinic, On Motion to Suspend the Rules and Pass"
Failed,0.02662281947860611,0.011801755573490839,98.0,-338.0,-120.0,-218.0,", On Motion to Adjourn"
Passed,-0.017955171963545468,0.035191010926153427,-402.0,60.0,-171.0,231.0,"Providing for consideration of the bill (H.R. 3183) making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2010, and for other purposes, On Ordering the Previous Question"
Passed,-0.017697871077280346,0.03618242278754811,-405.0,53.0,-176.0,229.0,"Providing for consideration of the bill (H.R. 3183) making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2010, and for other purposes, On Agreeing to the Resolution"
