Passed,1.861903939903004e-18,-5.316371656129742e-18,0.0,0.0,0.0,0.0,", On Approving the Journal"
Agreed to,-2.6753214398654335e-18,7.196847305449943e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,1.9658783679340046e-18,-2.1974747871770335e-18,0.0,0.0,0.0,0.0,"CIVIL RIGHTS ACT OF 1991, On Passage"
Failed,-1.5540867507765785e-18,-1.4757944963553508e-18,0.0,0.0,0.0,0.0,", ON AGREEING TO THE AMENDMENTS"
Failed,-4.512927850396997e-19,-2.7845949517926804e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-6.434467788749712e-19,-3.5805845469791636e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-2.058535691130253e-18,4.551352224693398e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,-1.1647608870453889e-18,7.396110046047387e-18,0.0,0.0,0.0,0.0,"LEGISLATIVE BRANCH APPROPRIATION, FY 1992, On Passage"
Passed,-6.534061800621609e-19,1.5120199938043e-18,0.0,0.0,0.0,0.0,"WAIVING CERTAIN POINTS OF ORDER DURING CONSIDERATION OF H.R. 2519; VA, HUD APPROPRIATIONS FOR FISCAL YEAR 1992, On Agreeing to the Resolution"
Failed,-1.17017882830231e-18,-4.735534350870238e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,2.465455386292543e-18,-3.1675152524158626e-19,0.0,0.0,0.0,0.0,", ON AGREEING TO THE AMENDMENTS"
Agreed to,1.1786612624831763e-19,1.8280757391833479e-19,0.0,0.0,0.0,0.0,", ON AGREEING TO THE AMENDMENTS"
Passed,-1.5582279333248655e-18,2.548940030637002e-18,0.0,0.0,0.0,0.0,"VA, HUD APPROPRIATIONS FOR FISCAL YEAR 1992, On Passage"
Failed,3.38812360622506e-19,-2.3493934929217846e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,1.5866898292791773e-18,9.025272876958615e-20,0.0,0.0,0.0,0.0,"DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FY 1992, On Passage"
Failed,-3.1853618022119375e-18,1.5625193443790853e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,6.770206830212924e-19,7.494809513895846e-19,0.0,0.0,0.0,0.0,"MONEY LAUNDERING ENFORCEMENT AMENDMENTS OF 1991, On Motion to Suspend the Rules and Pass"
Agreed to,-1.3916710262462455e-19,-3.845102066620336e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,1.1072357076611119e-18,-3.3566480558355716e-20,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-4.417429833810795e-19,4.543967115529717e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,2.5453072898200793e-18,6.334408520046429e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,4.654727781529495e-19,-2.792249228540111e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,7.732839310605984e-19,1.3868455254795323e-18,0.0,0.0,0.0,0.0,"DEPARTMENTS OF COMMERCE, JUSTICE, AND STATE, JUDICIARY APPROPRIATIONS FOR FY 1992, On Motion to Recommit with Instructions"
Passed,6.7923530200942205e-19,-2.2856978670031935e-18,0.0,0.0,0.0,0.0,"DEPARTMENTS OF COMMERCE, JUSTICE, AND STATE, JUDICIARY APPROPRIATIONS FOR FY 1992, On Passage"
Agreed to,-2.1970480393104708e-18,9.339769837123816e-19,0.0,0.0,0.0,0.0,", ON AGREEING TO THE AMENDMENT"
Passed,3.242077895436482e-20,-6.2171530111703765e-19,0.0,0.0,0.0,0.0,", On Approving the Journal"
Passed,1.0494364111703173e-18,1.383034580594835e-18,0.0,0.0,0.0,0.0,"WAIVING CERTAIN POINTS OF ORDER DURING CONSIDERATION OF H.R. 2622; TREASURY, POSTAL SERVICE, EXECUTIVE AND INDEPENDENT AGENCIES APPROPRIATIONS FOR FISCAL YEAR 1992, On Ordering the Previous Question"
Passed,5.164502369973905e-19,-1.273322299470321e-18,0.0,0.0,0.0,0.0,"WAIVING CERTAIN POINTS OF ORDER DURING CONSIDERATION OF H.R. 2622; TREASURY, POSTAL SERVICE, EXECUTIVE AND INDEPENDENT AGENCIES APPROPRIATIONS FOR FISCAL YEAR 1992, On Agreeing to the Resolution"
Agreed to,-1.1835360206590014e-18,2.2191850673479653e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,1.116268138192898e-18,-2.318960160322532e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-2.1335115367871424e-18,1.1585382650222519e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,1.7522369673478075e-18,-1.706992764071312e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-1.0394002440454455e-18,-3.865568802888353e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,1.2189550905646896e-18,4.2595755435853204e-19,0.0,0.0,0.0,0.0,"TREASURY, POSTAL SERVICE, EXECUTIVE AND INDEPENDENT AGENCIES APPROPRIATIONS FOR FISCAL YEAR 1992, On Passage"
